time,symbol,open,high,low,close,volume_from,volume_to
2020-10-27 00:00:00,LTC,56.88,60.6,57.27,57.95,800335.15,46383141.05
2020-10-28 00:00:00,LTC,57.95,58.52,55.38,55.84,590756.94,32988418.06
2020-10-29 00:00:00,LTC,55.84,57.28,54.48,54.94,633894.61,34825635.23
2020-10-30 00:00:00,LTC,54.94,55.99,53.69,54.07,885000.43,47855404.13
2020-10-31 00:00:00,LTC,54.07,56.11,54.68,55.79,892937.54,49820006.36
2020-11-01 00:00:00,LTC,55.79,55.89,54.48,55.64,676250.28,37625641.79
2020-11-02 00:00:00,LTC,55.64,55.75,53.63,53.89,789768.14,42561706.03
2020-11-03 00:00:00,LTC,53.89,56.11,52.59,53.99,394510.08,21300211.89
2020-11-04 00:00:00,LTC,53.99,55.29,53.22,54.78,450019.06,24650359.85
2020-11-05 00:00:00,LTC,54.71,59.68,54.71,59,263635.36,15098131.55
2020-11-06 00:00:00,LTC,59,63.67,58.71,63.36,418071.05,25696084.21
2020-11-07 00:00:00,LTC,63.36,64.7,57.27,58.98,366048.51,22503718.44
2020-11-08 00:00:00,LTC,58.98,62,58.71,61,187767.53,11333199.87
2020-11-09 00:00:00,LTC,61,61.7,57.49,59.24,229145.64,13661936.57
2020-11-10 00:00:00,LTC,59.24,59.62,57.21,57.96,214624.85,12515879.97
2020-11-11 00:00:00,LTC,57.96,60.59,57.91,59.33,405382.15,24184220.08
2020-11-12 00:00:00,LTC,59.33,60.79,57.73,60.75,417583.95,24624655.19
2020-11-13 00:00:00,LTC,60.81,67.05,60.45,65.94,2067879.82,136347135.4
2020-11-14 00:00:00,LTC,65.94,65.25,63.11,63.87,1105442.89,70604360.31
2020-11-15 00:00:00,LTC,63.87,63.92,61.77,62.34,660016.83,41146870.53
2020-11-16 00:00:00,LTC,62.36,74.58,62.18,73.84,1294427.63,89829616.15
2020-11-17 00:00:00,LTC,73.89,79.9,73.11,76.4,2342678.74,178985187.27
2020-11-18 00:00:00,LTC,76.39,77.13,68.56,73.52,1057099.95,77245625.97
2020-11-19 00:00:00,LTC,73.52,83.47,71.54,81.65,1455902.36,114184671.78
2020-11-20 00:00:00,LTC,81.65,85.66,80.15,82.62,1151910.32,95127667.38
2020-11-21 00:00:00,LTC,82.62,88.44,80.53,87.17,1337660.66,112910278.35
2020-11-22 00:00:00,LTC,87.17,87.95,78.56,82.95,1087772.71,91186754.22
2020-11-23 00:00:00,LTC,82.95,90.89,80.9,89.14,1437185.79,124889610.01
2020-11-24 00:00:00,LTC,89.14,93.97,86.29,89.3,1487577.21,133554057.46
